case_id,category,starter_status,starter_score,expanded_status,expanded_score,followup_status,followup_score,starter_choice,expanded_choice,followup_choice
lang_01,domain_context,scored,1,scored,1,scored,1,service,service,service
lang_02,domain_context,scored,1,scored,1,scored,1,quality,quality,quality
lang_03,domain_context,scored,1,scored,1,scored,1,payment,payment,payment
lang_04,domain_context,scored,1,scored,1,scored,1,juice,juice,juice
lang_05,domain_context,scored,1,scored,1,scored,1,journey,journey,journey
lang_06,domain_context,scored,1,scored,1,scored,1,security,security,security
lang_07,domain_context,scored,1,scored,1,scored,1,patient,patient,patient
lang_08,domain_context,scored,1,scored,1,scored,1,lesson,lesson,lesson
lang_09,domain_place,scored,1,scored,1,scored,1,store,store,store
lang_10,domain_place,scored,1,scored,1,scored,1,market,market,market
lang_11,domain_place,scored,1,scored,1,scored,1,bank,bank,bank
lang_12,domain_place,scored,1,scored,1,scored,1,kitchen,kitchen,kitchen
lang_13,domain_place,scored,1,scored,1,scored,1,station,station,station
lang_14,domain_place,scored,1,scored,1,scored,1,office,office,office
lang_15,domain_place,scored,1,scored,1,scored,1,hospital,hospital,hospital
lang_16,domain_place,scored,1,scored,1,scored,1,school,school,school
lang_17,new_wording,scored,1,scored,1,scored,1,health,health,health
lang_18,new_wording,scored,0,scored,0,scored,1,harvest,harvest,student
lang_19,new_wording,scored,0,scored,1,scored,1,care,return,return
lang_20,new_wording,scored,1,scored,1,scored,1,fruit,fruit,fruit
lang_21,new_wording,scored,1,scored,1,scored,1,route,route,route
lang_22,new_wording,scored,0,scored,1,scored,0,treatment,update,journey
lang_23,new_wording,scored,0,scored,1,scored,1,health,support,support
lang_24,new_wording,scored,1,scored,1,scored,1,delivery,delivery,delivery
lang_25,grammar,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_26,grammar,out_of_vocabulary,0,scored,1,scored,1,,are,are
lang_27,grammar,out_of_vocabulary,0,scored,1,scored,1,,walked,walked
lang_28,opposites,out_of_vocabulary,0,scored,0,scored,0,,heavy,heavy
lang_29,opposites,out_of_vocabulary,0,scored,1,scored,1,,full,full
lang_30,opposites,out_of_vocabulary,0,scored,1,scored,1,,quiet,quiet
lang_31,negation,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_32,negation,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_33,negation,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_34,reference,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_35,reference,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_36,reference,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_37,sequence,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_38,sequence,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_39,sequence,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_40,spatial_relations,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_41,spatial_relations,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_42,spatial_relations,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_43,everyday_knowledge,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_44,everyday_knowledge,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_45,everyday_knowledge,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_46,categories_and_analogies,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_47,categories_and_analogies,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
lang_48,categories_and_analogies,out_of_vocabulary,0,out_of_vocabulary,0,out_of_vocabulary,0,,,
